FedEx Ground Standard List Rates,,,,,,,,,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
44,$9.89 ,$12.10 ,$13.74 ,$16.54 ,$21.19 ,$25.93 ,$30.96 ,$84.10 ,$84.10 ,$6.30 ,$84.10 ,$38.30 ,$53.95 ,$45.65 ,$51.76 ,$9.89 ,$45.65 ,$51.76 
45,$9.99 ,$12.31 ,$13.99 ,$16.88 ,$21.56 ,$26.48 ,$31.59 ,$85.74 ,$85.74 ,$6.39 ,$85.74 ,$38.90 ,$54.85 ,$46.34 ,$52.62 ,$9.98 ,$46.34 ,$52.62 
46,$10.09 ,$12.51 ,$14.20 ,$17.19 ,$21.89 ,$26.95 ,$32.17 ,$87.38 ,$87.38 ,$6.49 ,$87.38 ,$39.55 ,$55.60 ,$47.04 ,$53.48 ,$10.09 ,$47.04 ,$53.48 
47,$10.18 ,$12.69 ,$14.43 ,$17.50 ,$22.20 ,$27.44 ,$32.75 ,$89.04 ,$89.04 ,$6.58 ,$89.04 ,$40.15 ,$56.50 ,$47.72 ,$54.35 ,$10.19 ,$47.72 ,$54.35 
48,$10.29 ,$12.87 ,$14.65 ,$17.80 ,$22.52 ,$27.92 ,$33.29 ,$90.58 ,$90.58 ,$6.70 ,$90.58 ,$40.75 ,$57.35 ,$48.40 ,$55.20 ,$10.29 ,$48.40 ,$55.20 
49,$10.38 ,$13.03 ,$14.86 ,$18.10 ,$22.82 ,$28.38 ,$33.77 ,$92.14 ,$92.14 ,$6.80 ,$92.14 ,$41.45 ,$58.20 ,$49.09 ,$55.99 ,$10.38 ,$49.09 ,$55.99 
50,$10.47 ,$13.18 ,$15.06 ,$18.38 ,$23.12 ,$28.84 ,$34.23 ,$93.69 ,$93.69 ,$6.93 ,$93.69 ,$42.10 ,$59.05 ,$49.77 ,$56.73 ,$10.47 ,$49.77 ,$56.73 
51,$10.58 ,$13.30 ,$15.27 ,$18.65 ,$23.40 ,$29.27 ,$34.66 ,$95.26 ,$95.26 ,$7.05 ,$95.26 ,$43.40 ,$60.30 ,$50.39 ,$57.48 ,$10.58 ,$50.39 ,$57.48 
52,$10.68 ,$13.42 ,$15.46 ,$18.90 ,$23.68 ,$29.62 ,$35.10 ,$96.81 ,$96.81 ,$7.17 ,$96.81 ,$43.40 ,$60.30 ,$50.96 ,$58.20 ,$10.68 ,$50.96 ,$58.20 
53,$10.77 ,$13.56 ,$15.64 ,$19.16 ,$23.96 ,$29.95 ,$35.46 ,$98.27 ,$98.27 ,$7.34 ,$98.27 ,$44.60 ,$61.50 ,$51.52 ,$58.95 ,$10.77 ,$51.52 ,$58.95 
54,$10.88 ,$13.67 ,$15.84 ,$19.39 ,$24.25 ,$30.21 ,$35.79 ,$99.83 ,$99.83 ,$7.45 ,$99.83 ,$44.60 ,$61.50 ,$52.08 ,$59.67 ,$10.87 ,$52.08 ,$59.67 
55,$10.97 ,$13.80 ,$16.00 ,$19.63 ,$24.52 ,$30.43 ,$36.07 ,$101.38 ,$101.38 ,$7.60 ,$101.38 ,$45.75 ,$62.75 ,$52.64 ,$60.42 ,$10.97 ,$52.64 ,$60.42 
