FedEx Express U.S. Package Standard List Rates: FedEx Priority Overnight®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
80,$107.55 ,$148.25 ,$219.75 ,$237.95 ,$257.20 ,$268.65 ,$278.70 ,$282.80 ,$283.25 ,$216.95 
81,$110.10 ,$150.55 ,$222.60 ,$241.10 ,$260.55 ,$271.65 ,$282.45 ,$286.65 ,$286.75 ,$219.65 
82,$111.90 ,$152.65 ,$225.50 ,$244.75 ,$263.50 ,$275.15 ,$286.00 ,$290.25 ,$292.70 ,$222.85 
83,$113.75 ,$155.00 ,$228.60 ,$247.60 ,$266.75 ,$278.70 ,$290.05 ,$294.35 ,$295.90 ,$225.30 
84,$115.30 ,$157.35 ,$231.70 ,$250.45 ,$270.55 ,$282.20 ,$294.10 ,$298.45 ,$298.90 ,$228.55 
85,$115.65 ,$159.95 ,$235.10 ,$253.55 ,$273.80 ,$285.20 ,$294.10 ,$300.50 ,$302.90 ,$231.50 
86,$118.20 ,$162.30 ,$238.25 ,$256.70 ,$277.35 ,$288.70 ,$301.45 ,$305.90 ,$305.90 ,$234.20 
87,$119.75 ,$164.90 ,$241.85 ,$260.10 ,$280.85 ,$291.95 ,$304.95 ,$309.45 ,$309.65 ,$237.45 
88,$121.05 ,$166.95 ,$245.25 ,$263.45 ,$283.55 ,$295.75 ,$307.95 ,$312.50 ,$313.45 ,$240.10 
89,$122.60 ,$169.30 ,$248.10 ,$266.30 ,$287.10 ,$299.55 ,$310.90 ,$315.50 ,$316.65 ,$242.80 
90,$123.95 ,$171.65 ,$251.25 ,$269.20 ,$290.60 ,$303.05 ,$314.15 ,$318.80 ,$320.70 ,$246.05 
91,$125.80 ,$174.00 ,$254.35 ,$272.30 ,$290.60 ,$306.30 ,$318.20 ,$322.90 ,$326.65 ,$248.50 
92,$127.35 ,$176.05 ,$257.45 ,$275.70 ,$297.65 ,$310.10 ,$318.20 ,$324.75 ,$330.40 ,$251.45 
93,$128.90 ,$177.60 ,$260.35 ,$279.25 ,$301.15 ,$313.90 ,$325.55 ,$330.35 ,$334.20 ,$254.70 
94,$130.25 ,$179.95 ,$263.20 ,$282.45 ,$304.95 ,$317.95 ,$329.85 ,$334.75 ,$338.25 ,$257.10 
95,$132.05 ,$182.30 ,$266.05 ,$285.55 ,$307.95 ,$320.95 ,$333.10 ,$338.00 ,$341.75 ,$260.35 
96,$133.35 ,$184.90 ,$268.65 ,$288.15 ,$310.90 ,$324.20 ,$336.65 ,$341.65 ,$345.25 ,$263.05 
97,$134.95 ,$186.75 ,$271.25 ,$291.05 ,$313.60 ,$326.90 ,$339.90 ,$344.90 ,$348.45 ,$265.75 
98,$136.25 ,$189.35 ,$273.60 ,$294.15 ,$317.15 ,$330.70 ,$343.40 ,$348.45 ,$351.70 ,$268.70 
99,$136.50 ,$191.40 ,$275.55 ,$296.75 ,$319.60 ,$333.40 ,$346.40 ,$351.50 ,$355.50 ,$271.65 
100,$137.00 ,$193.00 ,$277.00 ,$299.00 ,$322.00 ,$334.00 ,$348.00 ,$354.00 ,$356.00 ,$272.00 
101,$138.37 ,$194.93 ,$279.77 ,$301.99 ,$325.22 ,$337.34 ,$351.48 ,$357.54 ,$359.56 ,$274.72 
102,$139.74 ,$196.86 ,$282.54 ,$304.98 ,$328.44 ,$340.68 ,$354.96 ,$361.08 ,$363.12 ,$277.44 
103,$141.11 ,$198.79 ,$285.31 ,$307.97 ,$331.66 ,$344.02 ,$358.44 ,$364.62 ,$366.68 ,$280.16 
104,$142.48 ,$200.72 ,$288.08 ,$310.96 ,$334.88 ,$347.36 ,$361.92 ,$368.16 ,$370.24 ,$282.88 
105,$143.85 ,$202.65 ,$290.85 ,$313.95 ,$338.10 ,$350.70 ,$365.40 ,$371.70 ,$373.80 ,$285.60 
106,$145.22 ,$204.58 ,$293.62 ,$316.94 ,$341.32 ,$354.04 ,$368.88 ,$375.24 ,$377.36 ,$288.32 
107,$146.59 ,$206.51 ,$296.39 ,$319.93 ,$344.54 ,$357.38 ,$372.36 ,$378.78 ,$380.92 ,$291.04 
108,$147.96 ,$208.44 ,$299.16 ,$322.92 ,$347.76 ,$360.72 ,$375.84 ,$382.32 ,$384.48 ,$293.76 
109,$149.33 ,$210.37 ,$301.93 ,$325.91 ,$350.98 ,$364.06 ,$379.32 ,$385.86 ,$388.04 ,$296.48 
110,$150.70 ,$212.30 ,$304.70 ,$328.90 ,$354.20 ,$367.40 ,$382.80 ,$389.40 ,$391.60 ,$299.20 
111,$152.07 ,$214.23 ,$307.47 ,$331.89 ,$357.42 ,$370.74 ,$386.28 ,$392.94 ,$395.16 ,$301.92 
112,$153.44 ,$216.16 ,$310.24 ,$334.88 ,$360.64 ,$374.08 ,$389.76 ,$396.48 ,$398.72 ,$304.64 
113,$154.81 ,$218.09 ,$313.01 ,$337.87 ,$363.86 ,$377.42 ,$393.24 ,$400.02 ,$402.28 ,$307.36 
114,$156.18 ,$220.02 ,$315.78 ,$340.86 ,$367.08 ,$380.76 ,$396.72 ,$403.56 ,$405.84 ,$310.08 
115,$157.55 ,$221.95 ,$318.55 ,$343.85 ,$370.30 ,$384.10 ,$400.20 ,$407.10 ,$409.40 ,$312.80 
116,$158.92 ,$223.88 ,$321.32 ,$346.84 ,$373.52 ,$387.44 ,$403.68 ,$410.64 ,$412.96 ,$315.52 
